Window,F1-Score,Precision,Recall,Buy_Precision,Buy_Recall,Buy_F1-Score,Buy_Support,Hold_Precision,Hold_Recall,Hold_F1-Score,Hold_Support,Sell_Precision,Sell_Recall,Sell_F1-Score,Sell_Support
window_1,0.4138735416752189,0.37503623906300043,0.4625228519195612,0.41338582677165353,0.546875,0.47085201793721976,192.0,0.5051194539249146,0.5943775100401606,0.5461254612546126,249.0,0.0,0.0,0.0,106.0
window_2,0.4191980108407207,0.40792256814114575,0.45521023765996343,0.410958904109589,0.32432432432432434,0.36253776435045315,185.0,0.5097493036211699,0.7038461538461539,0.5912762520193862,260.0,0.14285714285714285,0.058823529411764705,0.08333333333333333,102.0
window_3,0.4362319554888475,0.432744528686427,0.4405850091407678,0.37790697674418605,0.3651685393258427,0.37142857142857144,178.0,0.5400696864111498,0.5740740740740741,0.5565529622980251,270.0,0.23863636363636365,0.21212121212121213,0.22459893048128343,99.0
window_4,0.42076720656282796,0.4063352750842981,0.44789762340036565,0.37209302325581395,0.3657142857142857,0.3688760806916426,175.0,0.5239520958083832,0.6433823529411765,0.5775577557755776,272.0,0.14634146341463414,0.06,0.0851063829787234,100.0
window_5,0.3713763590159353,0.4359581186637859,0.37294332723948814,0.36,0.5789473684210527,0.4439461883408072,171.0,0.5642857142857143,0.28214285714285714,0.3761904761904762,280.0,0.19696969696969696,0.2708333333333333,0.22807017543859648,96.0
window_6,0.41779771958635487,0.4120052325481147,0.4405850091407678,0.37037037037037035,0.5113636363636364,0.4295942720763723,176.0,0.532608695652174,0.5345454545454545,0.5335753176043557,275.0,0.14285714285714285,0.041666666666666664,0.06451612903225806,96.0
window_7,0.4079704247097908,0.45995583242437743,0.40219378427787933,0.34558823529411764,0.5562130177514792,0.42630385487528344,169.0,0.6114285714285714,0.3715277777777778,0.46220302375809935,288.0,0.19,0.2111111111111111,0.2,90.0
window_8,0.46641247472604225,0.45363684642648483,0.4936014625228519,0.4155844155844156,0.3764705882352941,0.3950617283950617,170.0,0.5621468926553672,0.6933797909407665,0.6209048361934477,287.0,0.1794871794871795,0.07777777777777778,0.10852713178294573,90.0
window_9,0.4485310411675194,0.45238407760660654,0.4680073126142596,0.35471698113207545,0.5838509316770186,0.4413145539906103,161.0,0.6145038167938931,0.5313531353135313,0.5699115044247788,303.0,0.05,0.012048192771084338,0.019417475728155338,83.0
window_10,0.4522127303176685,0.44644380344884793,0.4606946983546618,0.37305699481865284,0.42857142857142855,0.3988919667590028,168.0,0.574750830564784,0.5824915824915825,0.5785953177257525,297.0,0.1320754716981132,0.08536585365853659,0.1037037037037037,82.0
