Y_1h,Y_4h,Y_12h,Y_24h,Y_48h
0.0010613287,0.024413234,0.036266346,0.07745767,0.077994674
-0.004425384,-0.011817341,-0.0042626597,0.0005013556,6.276632e-05
-0.0005646137,0.000606437,0.004842939,-0.00043836955,0.017052162
0.004489417,0.004687773,0.0054889414,0.01749807,0.011110809
0.0005460082,0.0137171205,-0.012131906,-0.0062786313,-0.0029531573
0.0019035598,0.004606373,0.006844747,0.0033465477,0.050767783
9.3944116e-05,0.0024219204,0.022154966,0.047271334,0.011630216
0.00033546597,0.0022840817,-0.030529581,-0.034051213,-0.0090515
0.0029384212,-0.0006968577,-0.008672378,0.025888937,0.027919149
-0.0019980618,-0.012309369,-0.019083431,0.0019803995,0.010140842
0.0015482843,-0.007263887,0.019346748,0.008144477,0.013702351
0.002473412,-0.003548009,0.0025105677,0.005513588,-0.014408934
-0.0035488412,-0.0074033383,-0.03650627,-0.019811733,-0.00050428824
0.0050560767,-0.0081502255,-0.0009964397,0.01969784,0.042620763
0.0012715049,0.007418671,0.0021754745,0.022499098,0.14893037
0.002406219,0.013209357,0.054186158,0.1240936,0.10613057
-0.0067596394,-0.01991667,-0.025901718,-0.0161844,-0.059921786
0.0049116295,-0.0060591027,-0.006314736,-0.04449917,-0.003723138
0.008995421,0.004886387,0.022080213,0.04268116,0.025962565
-0.0025936267,-0.010764478,0.0010064552,-0.016051747,-0.0048225885
0.006013653,0.005718892,-0.0008098037,0.01141323,0.020216852
-0.0026643546,-0.0069952067,0.009393809,0.008706288,0.059161972
0.001952672,0.0033326035,0.017686902,0.05004669,0.043190133
0.0023854203,0.0004819656,-0.008844754,-0.0065436577,-0.021388082
-0.0055446667,-0.009431093,-0.023221148,-0.014944279,-0.019100536
-0.0036532183,-0.00646414,-0.0034524798,-0.0042205206,0.04768714
-0.001557639,0.0038558918,0.020852327,0.05211678,0.107315265
-0.0068950104,-0.008159956,0.01647587,0.05276217,0.056879804
0.0025873645,0.038169745,0.01867064,0.0039228583,0.0047253915
0.005204577,0.004598277,-0.0029583797,0.0007994121,0.06170762
0.010301567,0.023483004,0.02574295,0.06086268,0.043326583
-0.0015980424,-0.014916266,-0.011617902,-0.016572751,-0.038381904
-0.0041815676,0.0029383202,-0.023756094,-0.02219071,-0.009726908
0.0040366338,0.017911881,0.026657335,0.012749429,0.056480575
0.0053594033,0.0040097698,0.04399055,0.043212395,0.026943194
-0.0032413437,-0.024831887,0.006776421,-0.01561318,-0.09200677
-0.0033516039,-0.05774973,-0.0790062,-0.07771214,-0.09054189
-0.005016133,-0.0184149,-0.01878502,-0.014011604,0.014688144
-0.0011860053,-0.010997808,-0.0009084546,0.029101402,0.07451642
-0.003495889,0.0064460845,0.021575496,0.044228017,0.10814895
0.0028018958,0.0050709457,0.022070356,0.061513104,0.022035105
-0.0063598873,0.005311652,0.015761664,0.026884045,0.029533256
-0.0003783316,-0.004301744,-0.014859191,0.002581887,-0.0020971685
-0.0013189381,-0.0016869771,-0.0041286484,-0.004666981,-0.05886741
-0.00092467363,-0.0024541775,-0.026073743,-0.054469034,-0.041393716
0.0019515916,-0.0011237613,0.0030104404,0.013860491,-0.0088936
-4.1232615e-05,-0.0007519526,-0.012046394,-0.022440339,-0.0048800586
-0.0064860852,-0.003252234,-0.008523895,0.017965335,0.040585253
-0.0031741147,0.0015385392,0.005620356,0.02223702,0.03896879
0.0024165285,0.0054671457,0.031934205,0.016382001,0.03438324
0.0014928738,0.0036600195,0.0030156507,0.017721115,0.016165718
0.0030997677,-0.011045216,-0.005338455,-0.0015287481,0.10246543
0.0012434613,-0.00034133234,0.020524567,0.10413594,0.17376377
0.015425685,0.018541303,0.08213348,0.064220436,0.07302661
0.009814851,0.0046633123,0.0076717916,0.008313092,0.031469826
0.004040229,0.0038938515,0.0038123857,0.022971889,0.03159745
0.00017673556,-0.002336738,-0.0003820043,0.008437964,-0.039287034
-0.0006786446,0.009129142,-0.057877645,-0.047310572,0.0130168265
-0.0005388925,0.009653803,0.00825113,0.053864937,0.049339328
-0.012943419,-0.0031647692,-0.017268242,-0.00430553,0.0026431482
0.014306944,0.007765976,0.008220506,0.006978645,0.118522696
0.0055480246,0.005211019,0.048136447,0.11086909,0.12424223
0.0042267456,0.022943193,0.050984573,0.01220171,-0.0005377845
0.0105696125,0.012594375,-0.04943191,-0.01258585,0.03269246
0.010963625,-0.0484199,-0.026064623,0.045835808,0.14452817
-0.0031466954,0.041485097,0.029823681,0.09502024,0.14275369
-0.0075149336,0.008082856,0.021280393,0.04418496,0.08413026
-0.0028834848,-0.0032044142,0.064963035,0.03839838,0.046064336
-0.002110039,-0.0019144262,0.014680617,0.007395438,-0.07659217
