Y_1h,Y_4h,Y_12h,Y_24h,Y_48h
-0.00077222113,0.0017329578,-0.017739678,-0.039445195,-0.04597687
-0.00056698074,-0.0036955348,-0.010075925,-0.0068123867,0.03462722
0.0032744391,0.0032773665,0.017964365,0.041713685,0.09592208
0.0074189077,0.0014711616,0.0071491385,0.052249607,0.04977462
-0.0009347027,0.007055555,0.0021952132,-0.0023581178,0.009890171
0.0012621541,0.006299983,0.010735265,0.01227695,0.036163762
0.0037626773,0.03841457,-0.0063319514,-0.012248281,0.0014179577
-0.0051564225,0.009655733,0.019637993,0.013835449,0.047834784
-0.0040575266,-0.0010738567,0.0035523225,0.03355789,-0.002470546
-0.00096773985,-0.0013250251,-0.018136289,-0.0348563,-0.024402373
-0.012771018,-0.013434075,-0.010401411,0.010840826,0.016006708
-0.0024793106,0.015967593,-0.0035981939,0.0051113674,0.031674538
0.003660367,0.0056006075,0.03104237,0.026432429,0.11931845
0.0044437135,0.0101121375,0.020169962,0.09079319,0.0744604
-0.003271504,-0.011222285,-0.01902998,-0.015071983,-0.13060437
-0.0015939124,-0.0039072474,-0.020082843,-0.117515594,-0.11086607
0.0009582162,-0.016608708,0.0015522175,0.0076391576,-0.01060892
-0.006470715,-0.015463707,0.009826186,-0.018108293,0.018682776
0.0009487498,0.010594947,0.018364435,0.037456356,0.07945748
0.0013577291,-0.00038728322,0.017377865,0.04060658,0.09333147
-0.0028385394,0.0023319284,0.03107418,0.05086276,0.010648183
-0.0032240488,-0.033362262,-0.02559856,-0.038289245,-0.029702764
0.0015644926,0.010579628,0.008028767,0.008938663,0.040672485
-0.0008670884,0.0029651811,0.03031771,0.031464294,0.016877089
0.012651728,0.009045219,-0.011594448,-0.014149661,-0.003658054
0.001168048,-0.010604363,-0.0021234385,0.010642741,-0.008666786
0.0001785969,-0.0007503122,0.0024007894,-0.019104464,-0.07335345
-0.0043488634,-0.0076187826,-0.02027879,-0.055381168,-0.03310581
0.0069548334,-0.0031683783,0.016212754,0.023625579,0.018798739
-0.00036039075,0.0013831205,-0.011664011,-0.004717513,-0.046352193
-0.0026608233,-0.00063503237,-0.0039667576,-0.041840944,-0.035903044
-0.0022334743,-0.0006094398,-0.005715281,0.0062066736,0.008568265
0.0017448545,0.004484487,-0.0055097197,0.0023471487,0.045129184
-0.0035861742,-0.0030663118,0.029038057,0.042686496,0.07029337
-0.005239283,-0.009122982,0.016959561,0.026556246,0.011189363
0.00025650216,-0.0012719978,-0.012026639,-0.014973772,0.015145085
0.00084843964,0.015496927,0.018608032,0.030569524,0.013677704
5.4884345e-05,-0.010441109,-0.008330837,-0.016397558,0.046754275
0.005608307,0.0053387936,0.005969412,0.06415267,0.0030415843
0.0016332791,-0.0015017069,0.0015056639,-0.057441823,-0.047297176
-0.0024172848,-0.0031541167,0.007461655,0.010792889,0.028960537
0.0012367556,0.00156178,0.001245063,0.017979315,-0.0030695552
0.0020564706,-0.0019881257,-0.013291829,-0.020676035,-0.013279591
-0.0023321733,0.0007999607,0.004957008,0.0075546945,0.0167372
-0.0008270442,0.0008487541,-0.016613793,0.00911481,0.0031065755
-0.0018286721,-0.0029637753,-0.0042689294,-0.005954134,0.001413764
-0.0004709859,-0.0031041687,0.0018056158,0.0074119666,0.019299781
0.0013851696,-0.0024685448,-0.0011242996,0.011802046,-0.046782337
0.00400793,-0.00013245248,-0.017082686,-0.057870585,-0.044819776
0.0023772835,0.00479103,0.015273558,0.013889337,0.014774601
-0.00045624105,-0.004145313,-0.0027384982,0.0008733151,-0.011047783
-0.0010978302,-0.0026990916,-0.004700119,-0.011910582,-0.006969737
-0.009687796,-0.016477162,-0.025999263,0.00500082,0.014452469
0.0021471651,0.016601752,0.018731214,0.0094053,0.004884343
-0.0021788597,-0.0011184474,0.0023033654,-0.004479037,-0.011144977
