timestamp,open,high,low,close,volume,RSI,MACD,MACD_signal,macd_histogram,macd_divergence,macd_slope,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,bollinger_mavg,bollinger_hband,bollinger_lband,bollinger_width,timeframe
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076,45.66380787201889,-141.4029850350612,-123.48097852157312,-17.92200651348807,17.92200651348807,6.995778592317038,3605.795,3878.095,3741.9449999999997,3878.095,4136.598,4909.68002839285,3363.51597160715,1546.1640567856998,1d
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084,40.328957018261576,-157.4452327472336,-130.27382936670523,-27.171403380528375,27.171403380528375,-16.04224771217241,3491.19,3878.095,3684.6425,3878.095,4075.3520000000003,4810.598081134748,3340.1059188652525,1470.4921622694956,1d
2017-09-22,3592.84,3750.0,3505.55,3595.87,838.966425,40.08341755181332,-169.3460794419875,-138.0882793817617,-31.257800060225804,31.257800060225804,-11.900846694753909,3470.1,3878.095,3674.0975,3878.095,4031.5385,4771.403868138694,3291.673131861306,1479.7307362773877,1d
2017-09-23,3595.88,3817.19,3542.91,3780.0,752.792791,44.8029074359221,-162.05180173056124,-142.88098385152162,-19.170817879039618,19.170817879039618,7.294277711426275,3470.1,3878.095,3674.0975,3878.095,3995.0845,4708.618194410436,3281.5508055895634,1427.067388820873,1d
2017-09-24,3779.54,3789.99,3622.76,3660.02,661.63639,42.45620417587939,-164.0612217375001,-147.11703142871733,-16.944190308782765,16.944190308782765,-2.0094200069388535,3796.93,3878.095,3837.5125,3878.095,3973.0800000000004,4699.331412170749,3246.828587829252,1452.5028243414972,1d
2017-09-25,3660.02,3979.87,3653.69,3920.75,727.994713,48.73968223787526,-142.96693574022993,-146.28701229101986,3.320076550789935,3.320076550789935,21.094285997270163,3811.1099999999997,3878.095,3844.6025,3878.095,3950.7940000000003,4654.3926056381915,3247.195394361809,1407.1972112763824,1d
2017-09-26,3928.0,3976.99,3850.05,3882.35,526.727987,47.90992323182332,-127.87406852595586,-142.60442353800707,14.730355012051206,14.730355012051206,15.092867214274065,3814.375,3878.095,3846.2349999999997,3878.095,3913.923,4547.203549049162,3280.642450950838,1266.5610980983238,1d
2017-09-27,3882.36,4249.94,3872.81,4193.0,628.170966,54.63793732716007,-89.810721636984,-132.04568315780244,42.234961520818445,42.234961520818445,38.063346888971864,3877.745,3878.095,3877.92,3878.095,3888.9924999999994,4430.449344887022,3347.5356551129776,1082.913689774044,1d
2017-09-28,4192.11,4300.0,4101.0,4174.5,849.785325,54.18905908069068,-60.44131057996083,-117.72480864223412,57.283498062273296,57.283498062273296,29.36941105702317,3902.775,3802.795,3852.785,3878.095,3883.5774999999994,4411.160918119835,3355.9940818801647,1055.16683623967,1d
2017-09-29,4178.98,4263.86,3952.01,4174.69,1602.309565,54.19322135377463,-36.727141682520596,-101.52527525029141,64.79813356777082,64.79813356777082,23.71416889744023,3902.775,3802.795,3852.785,3878.095,3879.3714999999997,4396.152800988153,3362.5901990118464,1033.5626019763067,1d
2017-09-30,4175.0,4380.0,4138.1,4378.51,720.353183,58.54454080809203,-1.469976401819622,-81.51421548059707,80.04423907877745,80.04423907877745,35.257165280700974,3942.775,3802.795,3872.785,3878.095,3891.7785000000003,4442.845626120774,3340.7113738792273,1102.1342522415466,1d
2017-10-01,4378.49,4406.52,4240.04,4378.48,726.963685,58.543659292044566,26.167517495046923,-59.97786888546827,86.14538638051519,86.14538638051519,27.637493896866545,3974.715,3802.795,3888.755,3878.095,3900.279,4475.346745814359,3325.2112541856413,1150.1354916287173,1d
